k;Avg Maxflow;Aug paths;Time
15;40547;5003;63779.4
15;40416;4995;68185.7
15;43955;5508;70304.4
15;30535;3934;55235.7
15;28531;3476;43481.1
15;50132;6548;84466.5
15;18050;2514;32111.6
15;47615;5652;73849.8
15;12950;1695;30519.4
15;65975;8552;134170
15;48285;5652;81523.5
15;60904;7507;105271
15;37825;4814;68276
15;17585;2058;31142.9
15;34325;4727;63081.6
15;32495;4611;67508.8
15;38552;5206;81822.2
15;35898;4909;71884.2
15;23251;3250;38967.3
15;26952;3631;48884.7
15;14071;1858;26713.8
15;45622;5598;77411.4
15;9320;1248;15216
15;44104;5661;67602.1
15;25385;3511;45926.9
15;19571;2874;39734.9
15;28265;3818;51497.4
15;38015;4903;48159.9
15;38059;4479;62620.4
15;50783;6456;81896.2
15;22625;2944;38226
15;31489;4280;42814.7
15;25502;3106;39732.6
15;26418;3371;36625.9
15;30087;4024;54110.3
15;18295;2160;28951
15;60211;7579;89709.8
15;27427;3405;38431.9
15;32655;4494;54105.5
15;43111;5531;75960.6
15;38450;5061;65931.3
15;13511;1871;21883.9
15;22908;3335;40724.2
15;29268;3518;42234.9
15;29824;3670;48397.6
15;16228;2056;25581.1
15;36260;4672;60799.3
15;55210;6770;114777
15;34801;4495;52081.8
15;77553;9860;118016
15;32053;4374;56813.4
15;29815;4001;53349.2
15;26860;3794;53667.7
15;14002;1821;28893.6
15;26660;3322;53120.8
15;23985;3014;38378.9
15;29717;3689;53107.2
15;30585;3904;48597.9
15;51672;6585;91375.3
15;55770;7036;93642
15;37360;4832;57665
15;19220;2764;32907.7
15;24920;3223;42536.1
15;32766;3969;48871.8
15;40547;4996;69974.5
15;41288;4841;71443.6
15;51430;6605;82965.9
15;30365;4043;53248.8
15;28531;3664;51875.3
15;51470;6422;79466.4
15;18050;2245;27312.3
15;30525;4175;49423.4
15;12950;1816;22236.5
15;63363;7585;90517.1
15;52930;6319;78620.6
15;66251;7894;91777.4
15;37825;5223;63108.9
15;17585;2418;29853.3
15;20326;2729;33555.9
15;32495;4317;54064.3
15;40340;5034;61778.6
15;39849;5134;61873
15;22096;3139;32362.2
15;23560;3367;36173.7
15;7599;1105;13532.4
15;45170;5713;68551
15;9320;1287;12138.1
15;53024;6764;74321.9
15;25385;3491;41630.1
15;19571;2821;31612.1
15;34128;4462;50880.4
15;26411;3301;29508.4
15;43116;5189;63160.1
15;45820;5749;67533.9
15;22625;2988;36579.3
15;31873;4092;36758.2
15;25502;3406;41358.6
15;40373;5131;54628.5
15;48010;5925;71673.3
15;18295;2454;30888.1
