k;Avg Maxflow;Aug paths;Time
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
2;3;2;0
2;6;2;0
2;2;2;0
2;3;2;0
2;5;2;0
2;5;2;0
2;3;2;0
2;3;2;0
2;2;2;0
2;3;2;0
3;5;4;0
3;6;4;0
3;7;4;0
3;9;5;0
3;6;5;0
3;5;3;0
3;4;4;0
3;8;4;0
3;8;5;0
3;14;4;0
4;12;10;1.002
4;12;8;0
4;11;8;0
4;14;11;0
4;6;5;0
4;8;6;0
4;24;12;0
4;8;7;0
4;10;9;0
4;25;12;1.026
5;21;16;0
5;36;15;0
5;34;18;0
5;31;21;0
5;43;23;0.997
5;38;17;0
5;31;19;0
5;22;13;0
5;28;18;0.998
5;29;20;0
6;10;8;0.998
6;29;16;0
6;44;30;0.997
6;82;49;0.996
6;64;36;0.999
6;92;44;0.996
6;68;38;1
6;79;43;0.994
6;92;48;0.998
6;52;31;0
7;130;67;2.991
7;45;23;1.995
7;210;96;2.992
7;142;70;3.013
7;230;106;3.968
7;67;41;1.027
7;66;39;1.994
7;87;40;0.968
7;123;54;1.996
7;102;49;3.027
8;261;106;7.944
8;300;118;8.975
8;191;75;6.982
8;268;111;5.984
8;425;170;9.973
8;377;145;8.975
8;132;62;3.989
8;414;166;9.973
8;265;97;5.984
8;301;124;8.975
9;676;245;31.966
9;316;116;14.952
9;474;170;21.95
9;908;298;38.896
9;455;168;23.936
9;297;103;15.958
9;799;350;47.856
9;281;121;17.946
9;141;58;7.56
9;262;92;13.074
10;639;229;66.113
10;332;136;60.401
10;1371;462;169.155
10;803;281;104.699
10;1600;560;209.44
10;1163;396;133.295
10;1628;501;161.557
10;436;161;60.838
10;1874;571;196.515
10;960;304;118.725
11;2669;648;464.772
11;1861;556;352.314
11;2363;685;542.973
11;1170;352;230.027
11;3081;980;681.653
11;539;175;151.104
11;1145;315;255.417
11;479;141;132.667
11;2279;612;496.96
11;2969;917;579.785
12;7090;1686;2845.52
12;6810;1499;2511.35
12;1893;460;638.096
12;8118;1783;2643.22
12;4505;910;1172.59
12;3613;898;1280.86
12;1001;297;462.5
12;6635;1626;2270.09
12;6105;1316;1760.45
12;1862;468;613.834
13;12129;2168;7814.48
13;3759;780;2353.72
13;1609;375;1119.81
13;7701;1420;5341.81
13;11389;2253;8639.65
13;8731;1920;7364.51
13;14889;2895;12159.8
13;9556;1762;5713.62
13;7247;1375;4163.55
13;5055;1033;3690.13
14;10586;1859;23452.6
14;45814;6585;75326
14;21812;3358;37142.9
14;5812;994;11745.7
14;23571;3602;42247.1
14;44252;6167;85506.9
14;24441;3834;44280.6
14;34185;4832;61886.2
14;21915;3264;39506.6
14;16838;2561;33317.2
