k;Avg Maxflow;Aug paths;Time
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;1.017
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
2;2;2;0
2;2;2;0
2;5;2;0
2;2;2;0
2;2;2;0
2;3;2;0
2;3;2;0
2;6;2;0
2;3;2;0
2;2;2;0
2;2;2;0
2;6;2;0
2;5;2;0
2;3;2;0
2;5;2;0
2;5;2;0
2;3;2;0
2;6;2;0
2;2;2;0
2;2;2;0
2;3;2;0
2;5;2;0
2;4;2;0
2;2;2;0
2;3;2;0
2;5;2;0
2;6;2;0
2;3;2;0
2;5;2;0
2;2;2;0
2;3;2;0
2;2;2;0
2;5;2;0
2;4;2;0
2;2;2;0
2;6;2;0
2;3;2;0
2;3;2;0
2;2;2;0
2;6;2;0
2;2;2;0
2;5;2;0
2;3;2;0
2;6;2;0
2;3;2;0
2;2;2;0
2;3;2;0
2;4;2;0
2;2;2;0
2;5;2;0
2;3;2;0
2;6;2;0
2;3;2;0
2;3;2;0
2;4;2;0
2;3;2;0
2;3;2;0
2;6;2;0
2;2;2;0
2;6;2;0
2;3;2;0
2;5;2;0
2;3;2;0
2;3;2;0
2;3;2;0
2;5;2;0
2;2;2;0
2;5;2;0
2;3;2;0
2;6;2;0
2;5;2;0
2;6;2;0
2;2;2;0
2;5;2;0
2;3;2;0
2;4;2;0
2;5;2;0
2;6;2;0
2;3;2;0
2;3;2;0
2;2;2;0
2;3;2;0
2;6;2;0
2;5;2;0
2;4;2;0
2;6;2;0
2;4;2;0
2;3;2;0
2;6;2;0
2;3;2;0
2;3;2;0
2;3;2;0
2;3;2;0
2;5;2;0
2;2;2;0
2;3;2;0
2;3;2;0
2;6;2;0
2;3;2;0
2;4;2;0
3;4;4;0
3;6;4;0
3;4;4;0
3;5;4;0
3;5;4;0
3;5;4;0
3;8;4;0
3;7;3;0
3;12;6;0
3;7;5;0
3;4;3;0
3;9;4;0
3;5;4;0
3;7;5;0
3;5;5;0
3;5;5;0
3;6;5;0
3;10;5;0
3;7;5;0
3;6;5;1.013
3;6;4;0
3;5;4;0
3;8;5;0
3;4;3;0
3;8;5;0
3;8;5;0
3;5;5;0
3;7;4;0
3;5;5;0
3;9;5;0
3;5;4;0
3;5;3;0
3;4;3;0
3;8;6;0
3;5;4;0
3;5;4;0
3;9;4;0
3;9;4;0
3;7;5;0
3;5;3;0
3;6;4;0
3;5;4;0
3;7;5;0
3;7;5;0.97
3;9;4;0
3;3;3;0
3;8;4;0
3;9;5;0
3;5;4;0
3;5;4;0
3;4;4;0
3;7;4;0
3;7;4;0
3;5;5;0
3;6;6;0
3;8;3;0
3;4;3;0
3;8;5;0
3;4;4;0
3;7;5;0
3;10;5;0
3;6;5;0
3;5;4;0
3;5;4;0
3;4;4;0
3;6;5;0
3;4;3;0
3;7;4;0.996
3;6;5;0
3;4;4;0
3;11;6;0
3;9;5;0
3;4;4;0
3;9;5;0
3;6;4;0
3;4;3;0
3;5;4;0
3;4;4;0
3;5;4;0
3;4;4;0
3;7;5;0
3;4;3;0
3;9;5;0
3;5;4;0
3;4;4;0
3;4;4;0
3;6;4;0
3;6;4;0
3;6;4;0
3;5;4;0
3;8;5;0
3;7;5;0
3;8;5;0
3;6;4;0
3;5;3;0
3;7;4;0
3;6;5;0
3;7;4;0
3;8;3;0
3;5;3;0
4;8;8;0
4;20;13;0.996
4;13;8;0
4;4;4;0
4;5;5;0
4;10;8;0
4;18;9;0
4;5;4;0
4;24;11;0
4;8;7;0
4;8;7;0
4;13;9;0
4;19;8;0
4;14;7;0
4;10;6;0
4;16;8;0
4;19;6;0
4;26;15;0.999
4;8;8;0
4;20;12;0
4;20;12;0
4;18;9;0
4;16;11;0
4;32;16;0
4;10;7;0
4;7;6;0
4;20;12;0
4;15;9;0
4;11;9;0
4;12;8;0
4;14;7;0.996
4;17;11;0
4;15;8;0
4;12;9;0
4;14;6;0
4;11;7;0
4;13;9;0
4;18;10;0
4;15;7;0
4;5;5;0
4;20;11;0
4;9;7;0
4;21;12;0
4;26;9;0
4;12;8;0
4;18;9;0.997
4;13;11;0
4;18;11;0
4;17;9;0
4;8;7;0
4;11;8;0
4;17;9;0
4;17;10;0
4;22;14;0
4;25;9;0
4;5;4;0
4;17;12;0
4;14;10;0
4;6;4;0
4;17;11;0
4;17;10;0
4;6;5;0
4;15;10;0
4;15;8;0
4;10;9;0
4;18;8;0
4;21;11;0
4;15;8;0
4;17;9;0
4;12;9;0
4;9;8;0
4;15;12;0
4;8;7;0
4;13;7;0
4;23;11;0
4;17;11;0
4;11;9;0
4;6;5;0
4;10;8;0
4;11;8;0
4;7;5;0
4;12;8;0
4;17;8;0.98
4;10;9;0
4;23;12;0
4;11;8;0
4;22;9;0
4;14;8;0
4;14;4;0
4;16;9;0
4;15;11;0
4;13;7;0
4;15;8;0
4;11;11;0.997
4;11;9;0
4;22;12;0
4;28;12;0
4;6;6;0
4;13;7;0
4;12;9;0
5;32;20;0
5;68;30;0
5;42;25;0.989
5;15;12;0
5;32;19;0
5;30;18;0
5;32;19;0
5;29;22;0.974
5;28;18;0
5;12;11;0
5;35;21;0
5;42;23;0
5;34;21;0.997
5;31;14;0
5;16;10;0
5;28;16;0
5;29;23;1.027
5;24;17;0
5;56;31;0
5;34;22;0
5;18;6;1.024
5;25;15;0
5;27;16;0
5;41;24;0
5;10;7;0.942
5;17;14;0
5;40;17;0
5;48;25;0
5;27;18;0.997
5;26;15;0
5;16;11;0
5;25;13;0
5;26;15;0
5;36;23;1.026
5;14;10;0
5;28;14;0
5;19;16;0
5;32;18;0
5;30;15;0
5;38;20;0.997
5;31;17;0
5;22;16;0
5;46;27;1.001
5;29;19;0
5;21;14;0
5;50;22;1
5;36;22;0
5;22;13;0
5;32;17;0
5;35;19;0
5;26;19;0.961
5;32;21;0
5;15;11;0
5;42;24;0
5;27;10;0.999
5;22;13;0
5;56;23;0
5;31;20;0
5;28;18;0
5;14;12;1.02
5;15;13;0
5;31;16;0
5;28;15;0
5;41;22;0
5;37;26;0.998
5;32;19;0
5;29;14;0
5;31;24;0
5;28;21;0
5;34;22;0.999
5;26;13;0
5;39;28;0
5;17;11;0
5;31;19;1.003
5;30;16;0
5;19;12;0
5;54;25;0
5;52;27;0.999
5;37;20;0
5;43;24;0
5;11;6;0
5;16;13;0
5;29;21;1.002
5;28;17;0
5;43;26;0
5;33;16;0
5;37;18;0.96
5;28;16;0
5;44;22;0
5;18;12;0.998
5;30;18;0
5;46;28;0
5;33;19;0
5;38;27;1.025
5;19;16;0
5;51;19;0
5;28;14;0
5;35;27;0
5;35;25;1
5;40;22;0
6;84;49;0.995
6;99;51;0.998
6;40;24;0.998
6;92;38;0
6;80;52;1.019
6;81;46;0.975
6;51;21;0
6;117;61;0.997
6;78;39;1
6;40;26;1.012
6;60;37;0.986
6;59;32;0
6;100;48;0.997
6;51;24;0.998
6;97;37;0
6;102;52;0.991
6;82;42;0.997
6;90;40;0.969
6;57;32;0.999
6;117;54;1.045
6;68;35;0.998
6;133;56;0
6;74;32;0.996
6;88;38;0
6;51;27;0.999
6;29;15;0
6;52;25;1.003
6;46;31;0
6;72;41;0.99
6;84;45;0.999
6;33;21;0
6;113;48;0.998
6;102;43;0.995
6;90;49;0.949
6;106;49;0.996
6;78;51;0
6;54;31;1.042
6;88;54;0.998
6;103;51;0.985
6;60;35;0.966
6;26;11;0
6;57;35;1
6;54;33;0
6;52;17;1.044
6;74;41;0
6;57;36;0.997
6;69;39;0.997
6;35;16;0
6;63;38;0
6;64;39;1.003
6;70;32;0.993
6;117;55;0
6;71;39;0.996
6;37;20;0
6;81;54;0.998
6;52;35;0.998
6;59;32;0
6;33;21;0.996
6;68;29;0
6;75;40;0.998
6;56;34;0
6;48;27;1
6;81;44;0
6;68;37;0.995
6;73;39;0.998
6;83;36;0
6;68;27;0.995
6;24;14;0
6;82;41;0.999
6;53;29;0
6;56;33;0.946
6;69;39;0
6;24;15;1.048
6;56;38;0
6;56;31;0.987
6;43;23;0
6;75;35;1.007
6;90;50;0
6;128;57;1.954
6;47;26;0
6;81;41;0.988
6;63;28;0
6;86;39;1.041
6;75;35;0.998
6;67;27;0
6;43;25;0.997
6;57;36;0
6;30;22;0.997
6;62;33;0
6;98;48;0.998
6;72;42;0
6;48;32;0.998
6;73;38;0.952
6;82;35;0
6;32;20;0
6;65;32;1.053
6;58;27;0.993
6;61;41;0
6;70;49;1.062
6;32;25;0.98
7;155;84;2.992
7;211;95;2.001
7;99;46;1.995
7;147;68;1.995
7;131;69;1.994
7;92;44;1.994
7;77;34;0.998
7;26;14;0
7;31;24;0.997
7;101;52;1.996
7;204;105;2.991
7;131;67;1.995
7;58;34;1.956
7;154;84;3.024
7;178;90;2.001
7;26;20;0.998
7;97;49;1.997
7;229;105;2.992
7;159;90;1.992
7;112;62;1.995
7;102;47;1.994
7;55;36;0.998
7;98;59;1.994
7;55;30;0.997
7;162;80;2.993
7;119;47;1
7;52;32;1.942
7;201;79;3.988
7;129;64;3.109
7;58;35;0.932
7;30;21;0.991
7;75;38;0.996
7;79;38;0.998
7;122;65;1.995
7;143;76;2.958
7;147;88;3.037
7;195;83;2.987
7;104;44;1.002
7;154;68;1.991
7;148;64;1.994
7;74;37;0.997
7;173;89;2.992
7;52;33;1.961
7;182;100;3.562
7;77;36;2.016
7;73;38;1.002
7;146;70;2.985
7;73;41;1.005
7;95;50;0.992
7;111;71;2
7;227;122;3.599
7;129;56;1.995
7;192;86;2.991
7;50;30;0.998
7;80;34;0.998
7;150;84;1.994
7;94;51;2.001
7;104;59;1.938
7;47;32;2.023
7;90;46;1.02
7;38;24;0
7;91;48;1.995
7;148;66;1.999
7;125;56;1.995
7;208;105;2.967
7;131;67;2.014
7;51;31;1.995
7;95;51;1.948
7;82;48;1.044
7;141;84;2.991
7;102;54;0.999
7;212;87;2.941
7;58;34;1.052
7;102;48;1.991
7;99;41;0.977
7;145;66;2.016
7;97;49;1.95
7;230;117;4.032
7;112;64;2.972
7;221;106;2.963
7;129;55;4.015
7;139;71;2.968
7;137;75;3.027
7;212;113;3.978
7;171;88;1.996
7;58;28;0.996
7;82;42;1.002
7;188;101;3.993
7;141;72;1.961
7;120;61;3.028
7;125;70;2.008
7;184;90;2.997
7;119;59;1.994
7;100;47;0.993
7;275;114;2.992
7;138;77;2.556
7;71;39;0.998
7;220;112;3.939
7;150;85;3.035
7;67;41;0.998
8;136;71;4.04
8;361;142;8.976
8;302;153;8.925
8;418;197;13.011
8;410;141;7.984
8;494;155;8.976
8;448;180;11.938
8;367;148;7.958
8;301;118;6.973
8;157;76;3.998
8;277;115;6.982
8;608;221;13.928
8;119;64;4.024
8;402;131;7.977
8;185;80;5.031
8;518;218;12.923
8;332;147;8.971
8;161;72;4.991
8;76;32;2.957
8;426;177;10.008
8;351;143;8.97
8;375;158;9.995
8;298;101;5.938
8;208;104;7.006
8;146;76;5.617
8;292;116;7.002
8;138;82;5.961
8;128;55;3.991
8;282;137;8.974
8;133;59;3.99
8;490;202;12.966
8;485;197;12.914
8;148;90;5.038
8;259;102;6.986
8;136;62;3.948
8;490;201;11.96
8;474;184;12.013
8;398;160;9.923
8;464;193;12.017
8;207;93;5.985
8;391;180;10.975
8;159;69;4.983
8;207;91;5.932
8;272;105;7.016
8;165;68;4.989
8;174;89;4.989
8;158;76;4.989
8;212;98;6.964
8;456;180;10.982
8;172;66;3.989
8;571;221;12.966
8;240;73;4.955
8;147;55;4.013
8;282;116;8.964
8;675;305;20.965
8;469;207;11.981
8;199;77;5.971
8;110;54;3.983
8;401;155;9.994
8;55;28;1.995
8;264;128;6.981
8;368;179;10.969
8;261;105;6.932
8;580;227;13.015
8;417;140;8.925
8;261;124;8.03
8;164;88;4.973
8;104;46;3.952
8;48;30;2.029
8;400;189;10.972
8;290;138;9.971
8;264;101;6.022
8;188;96;5.982
8;124;73;3.992
8;94;49;2.989
8;208;100;5.983
8;364;191;10.971
8;239;90;5.983
8;122;59;2.994
8;170;84;4.988
8;435;219;12.93
8;467;215;12.002
8;147;55;3.994
8;344;152;8.972
8;276;113;6.973
8;423;180;9.981
8;226;124;7.985
