k;i;Max match;Time;;;;;
10;10;1024;3,989;;;Œrednia z Time;Etykiety kolumn;
10;10;1024;3,989;;;Etykiety wierszy;10;Suma koñcowa
10;10;1023;01,03,1999;;;10;4,17581203;4,17581203
10;10;1024;3,989;;;Suma koñcowa;4,17581203;4,17581203
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1022;2,992;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;4,986;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1024;4,987;;;;;
10;10;1024;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1024;4,987;;;;;
10;10;1024;2,992;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1023;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;2,992;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1024;4,987;;;;;
10;10;1024;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;4,987;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;3,989;;;;;
10;10;1024;2,992;;;;;
10;10;1024;2,992;;;;;
10;10;1024;4,991;;;;;
10;10;1024;4,983;;;;;
10;10;1024;2,992;;;;;
10;10;1024;2,992;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
10;10;1024;2,992;;;;;
10;10;1024;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;3,989;;;;;
10;10;1024;01,03,1999;;;;;
