k;i;Max match;Time
3;1;6;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;6;0
3;1;4;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;5;0
3;1;3;0
3;1;5;0
3;1;6;0
3;1;4;0
3;1;4;0
3;1;7;0
3;1;4;0
3;1;5;0
3;1;4;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;7;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;4;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;7;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;4;0
3;1;6;0
3;1;4;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;3;0
3;1;7;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;4;0
3;1;7;0
3;1;5;0.999
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;7;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;2;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;7;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;6;0.998
3;1;5;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;7;0
3;1;6;0
3;1;6;0
3;1;3;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;6;0
3;1;4;0
3;1;4;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;4;0
3;1;4;0
3;1;3;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0.996
3;1;4;0
3;1;5;0
3;1;5;0
3;1;7;0
3;1;5;0
3;1;6;0
3;1;3;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;4;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;4;0
3;1;4;0
3;1;6;0
3;1;6;0.999
3;1;5;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;7;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;4;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;7;0.997
3;1;6;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;7;0
3;1;7;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;3;0
3;1;6;0
3;1;6;0
3;1;7;0
3;1;4;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;7;0
3;1;6;0
3;1;7;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;7;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;7;0
3;1;4;0
3;1;6;0
3;1;5;0.997
3;1;6;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;7;0
3;1;6;0.997
3;1;5;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;8;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;7;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;3;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;7;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;4;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;6;0
3;1;5;0
3;1;7;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;5;0
3;1;5;0
3;1;8;0
3;1;5;0
3;1;6;0
3;1;5;0.997
3;1;6;0
3;1;5;0
3;1;5;0
3;1;4;0
3;1;5;0
3;1;7;0
3;1;6;0
3;1;6;0
3;1;4;0
3;1;6;0
3;1;7;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;6;0
3;1;4;0
3;1;6;0
3;1;5;0
3;1;5;0
3;1;5;0
3;2;6;0
3;2;8;0
3;2;7;0
3;2;6;0
3;2;6;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;6;0
3;2;7;0.998
3;2;8;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;6;0
3;2;7;0
3;2;8;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;8;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;8;0
3;2;7;0
3;2;6;0
3;2;6;0
3;2;6;0
3;2;7;0
3;2;7;0
3;2;8;0
3;2;6;0
3;2;8;0.997
3;2;8;0
3;2;6;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;7;0
3;2;6;0
3;2;7;0
3;2;6;0
3;2;5;0
3;2;7;0
3;2;8;0
3;2;7;0
3;2;5;0
3;2;7;0
3;2;8;0
3;2;7;0
3;2;7;0
3;2;8;0
3;2;8;0
3;2;7;0
3;2;8;0
3;2;8;0
3;2;7;0
3;2;7;0
3;2;8;0
3;2;8;0
3;2;7;0
3;2;8;0
3;2;7;0
3;2;5;0
3;2;6;0
3;2;7;0
3;2;5;0
3;2;7;0
3;2;7;0
3;2;6;0
3;2;6;0
3;2;8;0
3;2;8;0
3;2;7;0
3;2;7;0
3;2;6;0
3;2;7;0
3;2;6;0
3;2;7;0
3;2;7;0
3;2;8;0
3;2;7;0
